,Season,TeamID,Rank_WLK,Rank_DOL,Rank_COL,Rank_SAG,Rank_MOR,Rank_POM,Seed,TeamName,Wins,Losses,Win%,T_Wins,FGM,FGA,FG%,FGM_Ag,FGA_Ag,FG%_Ag,FGM_pg,FGM_Ag_pg,FGM3,FGA3,FG3%,FGM3_Ag,FGA3_Ag,FG3%_Ag,FGM3_pg,FGM3_Ag_pg,FTM,FTA,FT%,FTM_Ag,FTA_Ag,FTM_pg,FTM_Ag_pg,OR,OR_Ag,OR_pg,OR_Ag_pg,DR,DR_Ag,DR_pg,DR_Ag_pg,Ast,Ast_Ag,Ast_pg,Ast_Ag_pg,TO,TO_Ag,TO_pg,TO_Ag_pg,Stl,Stl_Ag,Stl_pg,Stl_Ag_pg,Blk,Blk_Ag,Blk_pg,Blk_Ag_pg,PF,PF_Ag,PF_pg,PF_Ag_pg
10,2003,1335,46,34,50,49,83,43,11,Penn,22,5,81.4815,0.0,648.0,1391.0,46.5852,559.0,1390.0,40.2158,24.0,20.704,243.0,590.0,41.1864,171.0,500.0,34.2,9.0,6.333,356.0,507.0,70.217,315.0,464.0,13.185,11.667,252.0,253.0,9.333,9.37,653.0,579.0,24.185,21.444,401.0,323.0,14.852,11.963,351.0,389.0,13.0,14.407,194.0,180.0,7.185,6.667,58.0,61.0,2.148,2.259,480.0,510.0,17.778,18.889
11,2003,1139,29,28,29,35,74,51,12,Butler,24,5,82.7586,2.0,698.0,1469.0,47.5153,668.0,1497.0,44.6226,24.069,23.034,246.0,634.0,38.8013,142.0,411.0,34.5499,8.483,4.897,347.0,480.0,72.2917,289.0,435.0,11.966,9.966,227.0,303.0,7.828,10.448,591.0,586.0,20.379,20.207,376.0,279.0,12.966,9.621,302.0,348.0,10.414,12.0,184.0,138.0,6.345,4.759,54.0,83.0,1.862,2.862,466.0,488.0,16.069,16.828
12,2003,1122,77,66,69,103,151,123,13,Austin Peay,20,7,74.0741,0.0,636.0,1406.0,45.2347,656.0,1533.0,42.7919,23.556,24.296,162.0,464.0,34.9138,170.0,474.0,35.865,6.0,6.296,448.0,648.0,69.1358,346.0,504.0,16.593,12.815,287.0,315.0,10.63,11.667,654.0,608.0,24.222,22.519,362.0,360.0,13.407,13.333,411.0,378.0,15.222,14.0,190.0,184.0,7.037,6.815,126.0,88.0,4.667,3.259,504.0,547.0,18.667,20.259
13,2003,1264,48,57,52,69,88,63,14,Manhattan,23,6,79.3103,0.0,752.0,1669.0,45.0569,669.0,1607.0,41.6304,25.931,23.069,160.0,459.0,34.8584,126.0,395.0,31.8987,5.517,4.345,545.0,693.0,78.6436,501.0,692.0,18.793,17.276,328.0,366.0,11.31,12.621,676.0,668.0,23.31,23.034,402.0,339.0,13.862,11.69,412.0,514.0,14.207,17.724,266.0,204.0,9.172,7.034,113.0,126.0,3.897,4.345,636.0,600.0,21.931,20.69
14,2003,1190,123,105,120,133,149,147,15,ETSU,17,10,62.963,0.0,758.0,1658.0,45.7177,744.0,1687.0,44.102,28.074,27.556,141.0,410.0,34.3902,192.0,536.0,35.8209,5.222,7.111,495.0,670.0,73.8806,412.0,566.0,18.333,15.259,378.0,374.0,14.0,13.852,649.0,608.0,24.037,22.519,379.0,456.0,14.037,16.889,506.0,510.0,18.741,18.889,289.0,224.0,10.704,8.296,142.0,121.0,5.259,4.481,527.0,555.0,19.519,20.556
15,2003,1354,205,190,180,231,238,230,16,S Carolina St,20,10,66.6667,0.0,744.0,1631.0,45.6162,720.0,1738.0,41.4269,24.8,24.0,155.0,464.0,33.4052,215.0,636.0,33.805,5.167,7.167,541.0,774.0,69.8966,483.0,735.0,18.033,16.1,389.0,427.0,12.967,14.233,728.0,636.0,24.267,21.2,308.0,362.0,10.267,12.067,584.0,522.0,19.467,17.4,240.0,291.0,8.0,9.7,87.0,95.0,2.9,3.167,622.0,652.0,20.733,21.733
16,2003,1400,7,7,4,5,12,7,1,Texas,22,6,78.5714,4.0,784.0,1748.0,44.8513,682.0,1658.0,41.1339,28.0,24.357,164.0,470.0,34.8936,171.0,494.0,34.6154,5.857,6.107,476.0,666.0,71.4715,388.0,589.0,17.0,13.857,453.0,362.0,16.179,12.929,732.0,616.0,26.143,22.0,406.0,314.0,14.5,11.214,376.0,397.0,13.429,14.179,179.0,195.0,6.393,6.964,108.0,88.0,3.857,3.143,570.0,573.0,20.357,20.464
17,2003,1196,11,8,14,7,7,6,2,Florida,24,7,77.4194,1.0,835.0,1752.0,47.6598,751.0,1775.0,42.3099,26.935,24.226,269.0,686.0,39.2128,180.0,550.0,32.7273,8.677,5.806,414.0,587.0,70.5281,323.0,496.0,13.355,10.419,335.0,371.0,10.806,11.968,752.0,674.0,24.258,21.742,509.0,450.0,16.419,14.516,415.0,467.0,13.387,15.065,241.0,201.0,7.774,6.484,127.0,106.0,4.097,3.419,524.0,540.0,16.903,17.419
18,2003,1462,15,14,16,13,19,17,3,Xavier,25,5,83.3333,1.0,804.0,1776.0,45.2703,756.0,1849.0,40.887,26.8,25.2,193.0,533.0,36.2101,187.0,586.0,31.9113,6.433,6.233,546.0,731.0,74.6922,280.0,422.0,18.2,9.333,418.0,368.0,13.933,12.267,765.0,640.0,25.5,21.333,492.0,368.0,16.4,12.267,391.0,420.0,13.033,14.0,164.0,197.0,5.467,6.567,91.0,84.0,3.033,2.8,473.0,605.0,15.767,20.167
19,2003,1390,28,23,17,29,25,30,4,Stanford,23,8,74.1935,1.0,795.0,1799.0,44.1912,731.0,1793.0,40.7697,25.645,23.581,215.0,601.0,35.7737,178.0,587.0,30.3237,6.935,5.742,435.0,644.0,67.5466,436.0,619.0,14.032,14.065,426.0,353.0,13.742,11.387,779.0,669.0,25.129,21.581,454.0,358.0,14.645,11.548,444.0,405.0,14.323,13.065,171.0,208.0,5.516,6.71,104.0,71.0,3.355,2.29,574.0,621.0,18.516,20.032
20,2003,1163,26,26,30,23,17,23,5,Connecticut,21,9,70.0,2.0,886.0,1866.0,47.4812,746.0,1961.0,38.0418,29.533,24.867,182.0,471.0,38.6412,193.0,604.0,31.9536,6.067,6.433,447.0,663.0,67.4208,457.0,630.0,14.9,15.233,443.0,460.0,14.767,15.333,837.0,645.0,27.9,21.5,469.0,408.0,15.633,13.6,474.0,401.0,15.8,13.367,178.0,234.0,5.933,7.8,232.0,124.0,7.733,4.133,552.0,578.0,18.4,19.267
21,2003,1268,27,32,37,21,9,19,6,Maryland,19,9,67.8571,2.0,824.0,1774.0,46.4487,642.0,1696.0,37.8538,29.429,22.929,189.0,475.0,39.7895,182.0,582.0,31.2715,6.75,6.5,425.0,604.0,70.3642,406.0,585.0,15.179,14.5,385.0,401.0,13.75,14.321,749.0,661.0,26.75,23.607,529.0,361.0,18.893,12.893,395.0,513.0,14.107,18.321,305.0,200.0,10.893,7.143,185.0,131.0,6.607,4.679,532.0,536.0,19.0,19.143
22,2003,1277,35,45,42,36,16,25,7,Michigan St,19,12,61.2903,3.0,714.0,1584.0,45.0758,625.0,1560.0,40.0641,23.032,20.161,152.0,415.0,36.6265,179.0,529.0,33.8374,4.903,5.774,504.0,686.0,73.4694,461.0,643.0,16.258,14.871,331.0,289.0,10.677,9.323,752.0,627.0,24.258,20.226,422.0,346.0,13.613,11.161,451.0,443.0,14.548,14.29,198.0,199.0,6.387,6.419,115.0,102.0,3.71,3.29,621.0,628.0,20.032,20.258
23,2003,1261,30,30,36,27,11,21,8,LSU,21,10,67.7419,0.0,831.0,1707.0,48.6819,709.0,1740.0,40.7471,26.806,22.871,209.0,545.0,38.3486,195.0,561.0,34.7594,6.742,6.29,399.0,616.0,64.7727,337.0,505.0,12.871,10.871,329.0,351.0,10.613,11.323,760.0,664.0,24.516,21.419,508.0,352.0,16.387,11.355,430.0,482.0,13.871,15.548,248.0,229.0,8.0,7.387,129.0,77.0,4.161,2.484,507.0,572.0,16.355,18.452
24,2003,1345,39,40,33,34,37,38,9,Purdue,18,10,64.2857,1.0,665.0,1523.0,43.6638,633.0,1526.0,41.481,23.75,22.607,143.0,434.0,32.9493,150.0,469.0,31.9829,5.107,5.357,536.0,714.0,75.07,411.0,568.0,19.143,14.679,291.0,298.0,10.393,10.643,657.0,657.0,23.464,23.464,343.0,363.0,12.25,12.964,387.0,459.0,13.821,16.393,201.0,152.0,7.179,5.429,82.0,107.0,2.929,3.821,555.0,610.0,19.821,21.786
25,2003,1160,40,38,45,33,30,28,10,Colorado,20,11,64.5161,0.0,843.0,1901.0,44.3451,787.0,1964.0,40.0713,27.194,25.387,154.0,473.0,32.5581,209.0,613.0,34.0946,4.968,6.742,501.0,742.0,67.5202,389.0,573.0,16.161,12.548,449.0,419.0,14.484,13.516,867.0,719.0,27.968,23.194,415.0,413.0,13.387,13.323,434.0,389.0,14.0,12.548,190.0,188.0,6.129,6.065,206.0,104.0,6.645,3.355,549.0,617.0,17.71,19.903
26,2003,1423,41,53,58,51,48,47,11,UNC Wilmington,24,6,80.0,0.0,781.0,1692.0,46.1584,628.0,1567.0,40.0766,26.033,20.933,203.0,552.0,36.7754,170.0,558.0,30.4659,6.767,5.667,376.0,546.0,68.8645,362.0,547.0,12.533,12.067,299.0,345.0,9.967,11.5,694.0,706.0,23.133,23.533,440.0,331.0,14.667,11.033,344.0,508.0,11.467,16.933,276.0,167.0,9.2,5.567,57.0,80.0,1.9,2.667,553.0,522.0,18.433,17.4
27,2003,1140,25,36,23,28,42,26,12,BYU,23,8,74.1935,0.0,745.0,1589.0,46.8848,650.0,1589.0,40.9062,24.032,20.968,192.0,500.0,38.4,155.0,503.0,30.8151,6.194,5.0,564.0,749.0,75.3004,519.0,728.0,18.194,16.742,337.0,323.0,10.871,10.419,757.0,626.0,24.419,20.194,416.0,334.0,13.419,10.774,426.0,449.0,13.742,14.484,215.0,170.0,6.935,5.484,78.0,69.0,2.516,2.226,664.0,663.0,21.419,21.387
28,2003,1360,80,100,91,87,77,82,13,San Diego,17,11,60.7143,0.0,706.0,1499.0,47.0981,730.0,1686.0,43.2977,25.214,26.071,194.0,505.0,38.4158,188.0,528.0,35.6061,6.929,6.714,485.0,737.0,65.8073,356.0,522.0,17.321,12.714,323.0,316.0,11.536,11.286,738.0,613.0,26.357,21.893,459.0,379.0,16.393,13.536,509.0,425.0,18.179,15.179,151.0,222.0,5.393,7.929,96.0,96.0,3.429,3.429,564.0,657.0,20.143,23.464
29,2003,1407,57,56,66,78,108,69,14,Troy,25,5,83.3333,0.0,847.0,1960.0,43.2143,751.0,1808.0,41.5376,28.233,25.033,284.0,850.0,33.4118,243.0,722.0,33.6565,9.467,8.1,403.0,586.0,68.7713,372.0,543.0,13.433,12.4,452.0,403.0,15.067,13.433,741.0,746.0,24.7,24.867,452.0,450.0,15.067,15.0,412.0,532.0,13.733,17.733,286.0,187.0,9.533,6.233,156.0,115.0,5.2,3.833,498.0,546.0,16.6,18.2
30,2003,1358,102,93,87,138,169,134,15,Sam Houston St,21,6,77.7778,0.0,656.0,1441.0,45.5239,607.0,1565.0,38.7859,24.296,22.481,175.0,488.0,35.8607,147.0,468.0,31.4103,6.481,5.444,451.0,635.0,71.0236,401.0,585.0,16.704,14.852,291.0,360.0,10.778,13.333,701.0,595.0,25.963,22.037,421.0,402.0,15.593,14.889,424.0,402.0,15.704,14.889,211.0,190.0,7.815,7.037,151.0,69.0,5.593,2.556,529.0,521.0,19.593,19.296
31,2003,1411,240,239,212,257,293,268,16,TX Southern,18,12,60.0,0.0,742.0,1658.0,44.7527,770.0,1812.0,42.4945,24.733,25.667,178.0,555.0,32.0721,226.0,695.0,32.518,5.933,7.533,522.0,842.0,61.9952,359.0,562.0,17.4,11.967,395.0,358.0,13.167,11.933,744.0,686.0,24.8,22.867,426.0,413.0,14.2,13.767,457.0,430.0,15.233,14.333,193.0,240.0,6.433,8.0,67.0,78.0,2.233,2.6,549.0,649.0,18.3,21.633
32,2003,1421,237,258,213,251,277,273,16,UNC Asheville,13,16,44.8276,1.0,707.0,1647.0,42.9265,806.0,1768.0,45.5882,24.379,27.793,188.0,522.0,36.0153,221.0,602.0,36.711,6.483,7.621,463.0,607.0,76.2768,442.0,654.0,15.966,15.241,356.0,398.0,12.276,13.724,672.0,662.0,23.172,22.828,378.0,460.0,13.034,15.862,470.0,372.0,16.207,12.828,205.0,256.0,7.069,8.828,87.0,123.0,3.0,4.241,554.0,542.0,19.103,18.69
33,2003,1246,1,1,1,1,1,1,1,Kentucky,29,3,90.625,3.0,911.0,1869.0,48.7426,736.0,1785.0,41.2325,28.469,23.0,189.0,531.0,35.5932,185.0,564.0,32.8014,5.906,5.781,470.0,665.0,70.6767,394.0,578.0,14.688,12.312,412.0,358.0,12.875,11.188,773.0,639.0,24.156,19.969,518.0,344.0,16.188,10.75,450.0,527.0,14.062,16.469,250.0,198.0,7.812,6.188,163.0,113.0,5.094,3.531,556.0,590.0,17.375,18.438
34,2003,1338,3,3,5,3,3,2,2,Pittsburgh,26,4,86.6667,2.0,806.0,1605.0,50.2181,614.0,1601.0,38.351,26.867,20.467,191.0,533.0,35.8349,157.0,523.0,30.0191,6.367,5.233,435.0,684.0,63.5965,380.0,552.0,14.5,12.667,339.0,309.0,11.3,10.3,761.0,592.0,25.367,19.733,533.0,333.0,17.767,11.1,453.0,485.0,15.1,16.167,242.0,184.0,8.067,6.133,123.0,98.0,4.1,3.267,539.0,601.0,17.967,20.033
35,2003,1266,13,10,10,14,18,13,3,Marquette,23,5,82.1429,4.0,762.0,1575.0,48.381,667.0,1643.0,40.5965,27.214,23.821,162.0,427.0,37.9391,188.0,574.0,32.7526,5.786,6.714,509.0,661.0,77.0045,373.0,536.0,18.179,13.321,367.0,355.0,13.107,12.679,674.0,520.0,24.071,18.571,457.0,363.0,16.321,12.964,380.0,350.0,13.571,12.5,168.0,181.0,6.0,6.464,102.0,69.0,3.643,2.464,522.0,581.0,18.643,20.75
36,2003,1173,22,15,13,26,32,31,4,Dayton,24,5,82.7586,0.0,710.0,1572.0,45.1654,693.0,1641.0,42.2303,24.483,23.897,218.0,605.0,36.0331,172.0,471.0,36.518,7.517,5.931,473.0,661.0,71.5582,365.0,510.0,16.31,12.586,391.0,353.0,13.483,12.172,672.0,559.0,23.172,19.276,441.0,342.0,15.207,11.793,386.0,344.0,13.31,11.862,156.0,169.0,5.379,5.828,85.0,82.0,2.931,2.828,510.0,572.0,17.586,19.724
37,2003,1458,18,24,21,19,15,16,5,Wisconsin,22,7,75.8621,2.0,726.0,1563.0,46.4491,644.0,1496.0,43.0481,25.034,22.207,181.0,504.0,35.9127,147.0,433.0,33.9492,6.241,5.069,418.0,564.0,74.1135,267.0,366.0,14.414,9.207,299.0,238.0,10.31,8.207,654.0,629.0,22.552,21.69,386.0,324.0,13.31,11.172,305.0,405.0,10.517,13.966,202.0,135.0,6.966,4.655,82.0,77.0,2.828,2.655,430.0,550.0,14.828,18.966
38,2003,1281,24,20,24,22,24,24,6,Missouri,21,10,67.7419,1.0,811.0,1835.0,44.1962,748.0,1858.0,40.2583,26.161,24.129,232.0,650.0,35.6923,180.0,564.0,31.9149,7.484,5.806,371.0,563.0,65.897,385.0,572.0,11.968,12.419,418.0,408.0,13.484,13.161,803.0,721.0,25.903,23.258,426.0,401.0,13.742,12.935,422.0,409.0,13.613,13.194,177.0,214.0,5.71,6.903,134.0,96.0,4.323,3.097,523.0,562.0,16.871,18.129
39,2003,1231,37,35,39,41,34,46,7,Indiana,20,12,62.5,1.0,750.0,1758.0,42.6621,777.0,1883.0,41.2639,23.438,24.281,241.0,692.0,34.8266,151.0,524.0,28.8168,7.531,4.719,516.0,724.0,71.2707,439.0,614.0,16.125,13.719,359.0,388.0,11.219,12.125,820.0,773.0,25.625,24.156,442.0,383.0,13.812,11.969,368.0,336.0,11.5,10.5,142.0,203.0,4.438,6.344,171.0,113.0,5.344,3.531,578.0,645.0,18.062,20.156
40,2003,1332,43,29,32,30,27,42,8,Oregon,23,9,71.875,0.0,915.0,1984.0,46.119,828.0,1943.0,42.6145,28.594,25.875,288.0,736.0,39.1304,182.0,524.0,34.7328,9.0,5.688,513.0,661.0,77.6097,529.0,754.0,16.031,16.531,364.0,423.0,11.375,13.219,784.0,758.0,24.5,23.688,559.0,376.0,17.469,11.75,487.0,536.0,15.219,16.75,257.0,207.0,8.031,6.469,89.0,111.0,2.781,3.469,670.0,621.0,20.938,19.406
41,2003,1428,31,33,20,38,66,37,9,Utah,23,7,76.6667,1.0,695.0,1522.0,45.6636,606.0,1463.0,41.4217,23.167,20.2,215.0,563.0,38.1883,137.0,429.0,31.9347,7.167,4.567,397.0,564.0,70.3901,451.0,656.0,13.233,15.033,304.0,303.0,10.133,10.1,696.0,625.0,23.2,20.833,396.0,305.0,13.2,10.167,381.0,377.0,12.7,12.567,140.0,181.0,4.667,6.033,113.0,71.0,3.767,2.367,603.0,588.0,20.1,19.6
42,2003,1104,36,39,43,37,26,33,10,Alabama,17,11,60.7143,0.0,673.0,1601.0,42.0362,651.0,1554.0,41.8919,24.036,23.25,178.0,556.0,32.0144,178.0,536.0,33.209,6.357,6.357,416.0,586.0,70.9898,340.0,480.0,14.857,12.143,380.0,305.0,13.571,10.893,670.0,634.0,23.929,22.643,339.0,327.0,12.107,11.679,372.0,388.0,13.286,13.857,185.0,155.0,6.607,5.536,106.0,89.0,3.786,3.179,505.0,539.0,18.036,19.25
43,2003,1356,44,31,31,50,72,57,11,S Illinois,24,6,80.0,0.0,821.0,1736.0,47.2926,718.0,1614.0,44.4857,27.367,23.933,183.0,475.0,38.5263,186.0,457.0,40.7002,6.1,6.2,411.0,582.0,70.6186,421.0,610.0,13.7,14.033,325.0,337.0,10.833,11.233,674.0,688.0,22.467,22.933,407.0,374.0,13.567,12.467,375.0,477.0,12.5,15.9,239.0,155.0,7.967,5.167,96.0,68.0,3.2,2.267,580.0,580.0,19.333,19.333
44,2003,1451,67,65,34,59,100,60,12,Weber St,25,4,86.2069,0.0,714.0,1533.0,46.5753,717.0,1568.0,45.727,24.621,24.724,177.0,528.0,33.5227,175.0,507.0,34.5168,6.103,6.034,547.0,745.0,73.4228,339.0,492.0,18.862,11.69,300.0,293.0,10.345,10.103,660.0,630.0,22.759,21.724,414.0,375.0,14.276,12.931,361.0,452.0,12.448,15.586,196.0,152.0,6.759,5.241,19.0,89.0,0.655,3.069,547.0,642.0,18.862,22.138
45,2003,1409,55,79,57,58,35,53,13,Tulsa,22,9,70.9677,1.0,818.0,1768.0,46.267,721.0,1817.0,39.6808,26.387,23.258,206.0,568.0,36.2676,174.0,563.0,30.9059,6.645,5.613,437.0,601.0,72.7121,407.0,597.0,14.097,13.129,346.0,396.0,11.161,12.774,800.0,704.0,25.806,22.71,458.0,361.0,14.774,11.645,444.0,447.0,14.323,14.419,235.0,216.0,7.581,6.968,155.0,83.0,5.0,2.677,537.0,580.0,17.323,18.71
46,2003,1221,59,42,59,68,105,80,14,Holy Cross,25,4,86.2069,0.0,702.0,1529.0,45.9124,600.0,1471.0,40.7886,24.207,20.69,154.0,428.0,35.9813,148.0,453.0,32.6711,5.31,5.103,453.0,642.0,70.5607,340.0,515.0,15.621,11.724,350.0,254.0,12.069,8.759,705.0,568.0,24.31,19.586,447.0,345.0,15.414,11.897,404.0,447.0,13.931,15.414,231.0,192.0,7.966,6.621,130.0,80.0,4.483,2.759,533.0,586.0,18.379,20.207
47,2003,1447,148,145,123,174,190,188,15,Wagner,21,10,67.7419,0.0,844.0,1788.0,47.2036,818.0,1775.0,46.0845,27.226,26.387,218.0,568.0,38.3803,190.0,506.0,37.5494,7.032,6.129,436.0,598.0,72.9097,389.0,539.0,14.065,12.548,372.0,339.0,12.0,10.935,693.0,662.0,22.355,21.355,499.0,434.0,16.097,14.0,464.0,479.0,14.968,15.452,233.0,232.0,7.516,7.484,87.0,81.0,2.806,2.613,545.0,583.0,17.581,18.806
48,2003,1237,144,139,148,162,145,133,16,IUPUI,19,13,59.375,0.0,782.0,1726.0,45.3071,819.0,1718.0,47.6717,24.438,25.594,208.0,595.0,34.958,212.0,591.0,35.8714,6.5,6.625,508.0,724.0,70.1657,403.0,594.0,15.875,12.594,374.0,338.0,11.688,10.562,669.0,691.0,20.906,21.594,428.0,515.0,13.375,16.094,509.0,539.0,15.906,16.844,262.0,216.0,8.188,6.75,58.0,121.0,1.812,3.781,619.0,643.0,19.344,20.094
49,2003,1112,2,2,2,2,4,3,1,Arizona,25,3,89.2857,3.0,849.0,1840.0,46.1413,738.0,1811.0,40.751,30.321,26.357,197.0,562.0,35.0534,177.0,559.0,31.6637,7.036,6.321,491.0,700.0,70.1429,314.0,496.0,17.536,11.214,425.0,367.0,15.179,13.107,774.0,652.0,27.643,23.286,494.0,433.0,17.643,15.464,414.0,472.0,14.786,16.857,237.0,167.0,8.464,5.964,118.0,67.0,4.214,2.393,497.0,618.0,17.75,22.071
50,2003,1242,4,11,7,4,2,4,2,Kansas,23,7,76.6667,5.0,907.0,1869.0,48.5286,738.0,1816.0,40.6388,30.233,24.6,144.0,424.0,33.9623,199.0,550.0,36.1818,4.8,6.633,482.0,724.0,66.5746,316.0,458.0,16.067,10.533,429.0,346.0,14.3,11.533,807.0,675.0,26.9,22.5,502.0,357.0,16.733,11.9,447.0,519.0,14.9,17.3,304.0,205.0,10.133,6.833,147.0,132.0,4.9,4.4,501.0,600.0,16.7,20.0
51,2003,1181,5,9,11,10,10,8,3,Duke,24,6,80.0,2.0,821.0,1810.0,45.3591,752.0,1715.0,43.8484,27.367,25.067,220.0,618.0,35.5987,148.0,434.0,34.1014,7.333,4.933,597.0,842.0,70.9026,460.0,659.0,19.9,15.333,413.0,366.0,13.767,12.2,693.0,679.0,23.1,22.633,415.0,370.0,13.833,12.333,421.0,535.0,14.033,17.833,255.0,193.0,8.5,6.433,154.0,123.0,5.133,4.1,638.0,696.0,21.267,23.2
